Temperature: 30, Humidity: 76, Log Data: Temperature: 30, Humidity: 76, Time: 2024-11-10 23:38:21
Temperature: 30, Humidity: 76, Log Data: Temperature: 30, Humidity: 76, Time: 2024-11-10 23:38:29
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:38:37
Temperature: 30, Humidity: 76, Log Data: Temperature: 30, Humidity: 76, Time: 2024-11-10 23:38:45
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:38:53
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:00
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:08
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:16
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:24
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:31
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:39:39
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:39:46
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:39:55
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:03
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:10
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:18
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:26
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:34
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:42
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:49
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:40:57
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:41:05
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:41:13
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:41:20
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:41:34
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:41:41
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:41:49
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:41:57
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:04
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:15
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:22
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:30
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:38
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:46
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:42:53
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:01
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:11
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:19
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:27
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:35
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:42
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:50
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:43:57
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:05
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:13
Temperature: 30, Humidity: 75, Log Data: Temperature: 30, Humidity: 75, Time: 2024-11-10 23:44:20
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:28
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:36
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:43
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:51
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:44:59
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:07
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:15
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:22
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:30
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:38
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:46
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:45:53
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:46:01
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:46:08
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:46:19
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:46:32
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:46:43
Temperature: 31, Humidity: 74, Log Data: Temperature: 31, Humidity: 74, Time: 2024-11-10 23:46:51
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:47:02
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:47:10
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:47:19
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:47:27
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:47:37
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:47:45
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:47:56
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:48:04
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:48:12
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:48:20
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:48:30
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:48:38
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:48:49
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:48:56
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:49:04
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:49:12
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:49:20
Temperature: 31, Humidity: 74, Log Data: Temperature: 31, Humidity: 74, Time: 2024-11-10 23:49:31
Temperature: 31, Humidity: 74, Log Data: Temperature: 31, Humidity: 74, Time: 2024-11-10 23:49:41
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:49:50
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:49:58
Temperature: 31, Humidity: 73, Log Data: Temperature: 31, Humidity: 73, Time: 2024-11-10 23:50:06
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:50:14
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:50:22
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:50:31
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:50:38
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:50:46
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:50:58
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:51:06
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:51:14
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:51:21
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:51:30
Temperature: 30, Humidity: 74, Log Data: Temperature: 30, Humidity: 74, Time: 2024-11-10 23:51:41
Temperature: 30, Humidity: 73, Log Data: Temperature: 30, Humidity: 73, Time: 2024-11-10 23:51:48
